dateTime,sensor,sensorLatitude,sensorLongitude,sensorBattery,doorStatus,doorOpenTimes,lastDoorOpenDuration,doorAlarm,doorMode
2026-06-05 17:04:13,lds01-6,52.2502,5.97311,3.084,0,0,0,0,1
2026-06-06 12:08:28,lds01-6,52.2502,5.97311,3.078,1,1,0,0,1
2026-06-06 12:19:25,lds01-6,52.2502,5.97311,3.072,0,1,10,0,1
2026-06-06 12:29:48,lds01-6,52.2502,5.97311,3.06,1,10,3,0,1
2026-06-10 15:32:01,lds01-6,52.2502,5.97311,2.958,0,29,520,0,1
2026-06-10 17:04:22,lds01-6,52.2502,5.97311,2.97,0,29,520,0,1
2026-06-11 06:40:39,lds01-6,52.2502,5.97311,2.958,1,30,520,0,1
2026-06-11 07:00:37,lds01-6,52.2502,5.97311,2.97,0,30,19,0,1
2026-06-11 07:51:35,lds01-6,52.2502,5.97311,2.982,1,31,19,0,1
2026-06-11 07:52:19,lds01-6,52.2502,5.97311,2.982,0,31,0,0,1
2026-06-11 07:52:26,lds01-6,52.2502,5.97311,2.976,0,32,0,0,1
2026-06-11 14:25:47,lds01-6,52.2502,5.97311,2.988,1,33,0,0,1
2026-06-11 14:28:14,lds01-6,52.2502,5.97311,2.994,0,33,2,0,1
2026-06-11 15:26:31,lds01-6,52.2502,5.97311,2.976,1,34,2,0,1
2026-06-11 15:26:38,lds01-6,52.2502,5.97311,2.976,1,35,0,0,1
2026-06-11 15:26:45,lds01-6,52.2502,5.97311,2.97,0,35,0,0,1
2026-06-11 17:02:29,lds01-6,52.2502,5.97311,2.952,1,36,0,0,1
2026-06-11 17:02:59,lds01-6,52.2502,5.97311,2.952,0,36,0,0,1
2026-06-11 17:04:24,lds01-6,52.2502,5.97311,2.952,0,36,0,0,1
2026-06-11 18:42:24,lds01-6,52.2502,5.97311,2.934,1,37,0,0,1
2026-06-11 18:43:03,lds01-6,52.2502,5.97311,2.934,0,37,0,0,1
2026-06-12 06:39:16,lds01-6,52.2502,5.97311,2.934,1,38,0,0,1
2026-06-12 08:41:18,lds01-6,52.2502,5.97311,2.964,0,38,122,0,1
2026-06-12 08:41:25,lds01-6,52.2502,5.97311,2.964,1,39,122,0,1
2026-06-12 08:42:17,lds01-6,52.2502,5.97311,2.964,0,39,0,0,1
2026-06-12 09:19:41,lds01-6,52.2502,5.97311,2.97,0,40,3,0,1
2026-06-12 10:37:39,lds01-6,52.2502,5.97311,2.97,1,41,3,0,1
2026-06-12 10:38:23,lds01-6,52.2502,5.97311,2.97,0,41,0,0,1
2026-06-12 11:42:26,lds01-6,52.2502,5.97311,2.97,1,42,0,0,1
2026-06-12 11:42:36,lds01-6,52.2502,5.97311,2.97,0,42,0,0,1
2026-06-12 12:12:34,lds01-6,52.2502,5.97311,2.97,1,43,0,0,1
2026-06-12 12:26:09,lds01-6,52.2502,5.97311,2.976,0,43,13,0,1
2026-06-12 12:55:43,lds01-6,52.2502,5.97311,2.976,1,44,13,0,1
2026-06-12 12:58:52,lds01-6,52.2502,5.97311,2.976,0,44,3,0,1
2026-06-12 13:38:19,lds01-6,52.2502,5.97311,2.976,1,45,3,0,1
2026-06-12 15:09:10,lds01-6,52.2502,5.97311,2.976,0,45,90,0,1
2026-06-12 16:50:24,lds01-6,52.2502,5.97311,2.97,1,46,90,0,1
2026-06-12 16:51:55,lds01-6,52.2502,5.97311,2.97,0,46,1,0,1
2026-06-12 17:04:26,lds01-6,52.2502,5.97311,2.97,0,46,1,0,1
2026-06-13 06:33:50,lds01-6,52.2502,5.97311,2.94,1,47,1,0,1
2026-06-13 06:34:42,lds01-6,52.2502,5.97311,2.94,0,48,0,0,1
2026-06-13 06:58:06,lds01-6,52.2502,5.97311,2.952,0,49,0,0,1
2026-06-13 07:43:34,lds01-6,52.2502,5.97311,2.964,1,50,0,0,1
2026-06-13 07:43:48,lds01-6,52.2502,5.97311,2.958,0,51,0,0,1
2026-06-13 07:45:45,lds01-6,52.2502,5.97311,2.964,1,52,0,0,1
2026-06-13 07:45:59,lds01-6,52.2502,5.97311,2.958,0,52,0,0,1
2026-06-13 08:14:29,lds01-6,52.2502,5.97311,2.952,1,53,0,0,1
2026-06-13 08:31:35,lds01-6,52.2502,5.97311,2.958,0,53,17,0,1
2026-06-13 08:31:42,lds01-6,52.2502,5.97311,2.958,0,54,0,0,1
2026-06-13 08:43:41,lds01-6,52.2502,5.97311,2.952,1,55,0,0,1
2026-06-13 08:44:00,lds01-6,52.2502,5.97311,2.952,0,55,0,0,1
2026-06-13 08:53:24,lds01-6,52.2502,5.97311,2.94,1,56,0,0,1
2026-06-13 08:53:41,lds01-6,52.2502,5.97311,2.94,0,56,0,0,1
2026-06-13 09:06:48,lds01-6,52.2502,5.97311,2.952,0,57,1,0,1
2026-06-13 09:06:55,lds01-6,52.2502,5.97311,2.952,0,58,0,0,1
